Compound_name,Fragment,Insp_frag_found,dockedSMILES,fragSMILES,SuCOS_score,Avg_SuCOS_score
LON-WEI-b8d-26,x0072,1,C=CC(=O)N(c1ccc(C(C)C)nc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,CS(O)(O)NCCC1CCCCC1,0.41764952268387345,0.13649925714595584
WAR-XCH-b72-13,x0104,1,NS(=O)(=O)c1ccc(N2CCC([NH+]3Cc4ccccc4C(c4ccccc4)C3)CC2)cc1,CC(O)NCCC1CNC2CCC(F)CC12,0.3628355491040568,0.11829461745833617
LON-WEI-8f4-1,x0072,1,O=C(CCl)Nc1cccc(N2CCCC2=O)c1,CS(O)(O)NCCC1CCCCC1,0.46725588091746234,0.12107304656218912
SAN-PRS-3c4-9,x0946,0,Cn1c(O)c(NCC(N)=O)c2ccccc21,NS(O)(O)C1CCC(Br)CC1,0.40246538581704844,0.04951890065559679
SAN-PRS-3c4-13,x0946,0,Cn1c(O)c(NCC(N)=O)c2ccccc21,NS(O)(O)C1CCC(Br)CC1,0.40246538581704844,0.04951890065559679
RAF-POL-950-14,x0995,0,Cc1n[nH]c(C(=O)N2CCC([NH3+])CC2C)c1C,NC1CNCNC1,0.4470463783334323,0.06614573222263688
MAK-UNK-5e8-13,x0946,0,Cc1cnc(-c2ccsc2)nc1,NS(O)(O)C1CCC(Br)CC1,0.4207684565142775,0.04511838617155737
MAK-UNK-f24-1,x0107,1,CC(=O)Nc1cnccc1CCCNC=[NH+]C1CCCCC1,CC(O)NC1CNCCC1C,0.40354282720132245,0.1307164734963523
DAR-DIA-eac-34,x0104,1,CCCc1cc(CC)cc2c(C[NH+](C)C)c[nH]c12,CC(O)NCCC1CNC2CCC(F)CC12,0.5140319037247196,0.11257828785297559
DR.-DNY-5c7-4,x0991,0,Clc1nc2ccccc2cc1-c1nc2cc(Br)ccc2o1,CCC(N)N,0.3551941534149759,0.12307820255266971
NIC-BIO-254-3,x1093,1,C[NH+]1CCC(NC(=O)Cc2c[nH]c3ncccc23)CC1,CN1CCN(C(O)CC2CNC3NCCCC23)CC1,0.5234387648642068,0.09284674109203249
MAK-UNK-194-14,x0967,0,O=S(=O)(NCCc1ccccc1)N1CCc2nncn2-c2cc(CC3CCCCC3)ccc21,CC(O)NC(CC1CCC(O)CC1)C(O)NCCCBr,0.48046161520682806,0.11420323631128379
BEN-VAN-d8f-19,x0946,1,Cc1ccnc(Oc2cc(F)cc3c(C(F)(F)F)c[nH]c23)c1,NS(O)(O)C1CCC(Br)CC1,0.4369199342011486,0.08975678774358667
DAR-DIA-eac-21,x0946,0,COc1cc(N2CCCCCC2)c2[nH]cc(C[NH+](C)C)c2c1,NS(O)(O)C1CCC(Br)CC1,0.4641901389599008,0.06893956773096192
NEA-WAB-7f0-1,x1420,0,CC(=O)N(CCC1CCON1)C1CC(c2ccc3c(c2)N(C)CCC3)CC(S(N)(O)O)C1,CC(O)N1CC2CCCCC2C(C2CCCCC2)C1,0.461177156139704,0.1691446561013877
HAN-UNI-e16-1,x0195,1,CC(=O)N1CCC2CCc3cc(S(N)(=O)=O)[nH]c3N2C1,CN1CCCC2CCC(S(N)(O)O)CC21,0.3880692591531458,0.08432023368672002
GAB-REV-4a4-10,x0946,0,CC(=O)NCCc1c[nH]c2c(S(=O)(=O)Nc3ccc4c(c3)C(=O)NC4)cc(F)cc12,NS(O)(O)C1CCC(Br)CC1,0.3848853688888948,0.05353887005762577
ROB-UNI-b2e-9,x0104,1,CC(=O)NCCc1ccnc2c(CCNS(C)(=O)=O)cc(Cl)cc12,CC(O)NCCC1CNC2CCC(F)CC12,0.44193301233987425,0.11022893555779444
ROM-UNK-ef5-2,x0107,1,CCN(CC)C(=O)CC1C[NH2+]CCN1Cc1ccccn1,CC(O)NC1CNCCC1C,0.4745614192541553,0.14566063444455207
BAR-COM-4e0-43,x0434,1,O=C(NCc1noc2ccccc12)c1ccccc1OCC1CC1,OC(NC1CCCCC1)NC1CCCNC1,0.45655496500458653,0.1275308103922127
MAT-POS-916-1,x0991,0,COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,CCC(N)N,0.46841830806133883,0.15483949691977533
DR.-CSI-47e-5,x1334,0,NC(=[NH2+])N1CCC(Cc2ccccc2)CC1,CC(O)N1CCN(CC2CCC(Cl)S2)CC1,0.45595195553154266,0.12686968426606587
MAK-UNK-095-28,x0072,1,C[NH2+]Cc1cc(-c2ccccc2F)n(C(=O)CCO)c1,CS(O)(O)NCCC1CCCCC1,0.4243563200274987,0.14722697541576657
